"Day","Month","Year","MinTemp","MaxTemp"
1,1,1981,-4.45,7.27
2,1,1981,-2.44,7.48
3,1,1981,-2.82,6.45
4,1,1981,-1.12,5.41
5,1,1981,-0.7,7.56
6,1,1981,-1.39,7.61
7,1,1981,-1.6,5.29
8,1,1981,-0.19,7.9
9,1,1981,-2.94,7.48
10,1,1981,-2.46,5.53
11,1,1981,-1.49,4.68
12,1,1981,3.11,4.95
13,1,1981,1.37,4.88
14,1,1981,1.57,6.64
15,1,1981,2.22,7.71
16,1,1981,5.48,7.82
17,1,1981,5.23,8.41
18,1,1981,3.55,9.08
19,1,1981,3.53,9.47
20,1,1981,1.25,9.82
21,1,1981,2.77,12.01
22,1,1981,0.29,10.36
23,1,1981,2.1,14.51
24,1,1981,3.33,13.65
25,1,1981,2.94,12.01
26,1,1981,0.65,11.27
27,1,1981,0.9,11.3
28,1,1981,4.23,14.97
29,1,1981,4.71,15.25
30,1,1981,4.28,14.07
31,1,1981,5.75,13.3
1,2,1981,2.27,13.98
2,2,1981,1.42,12.12
3,2,1981,-0.4,9.95
4,2,1981,0.59,8.72
5,2,1981,1.47,9.06
6,2,1981,0.62,12.35
7,2,1981,-0.59,15.12
8,2,1981,0.66,14.16
9,2,1981,3.55,7.35
10,2,1981,-0.69,7.79
11,2,1981,-3.03,7.05
12,2,1981,-4.72,5.58
13,2,1981,-1.31,7.54
14,2,1981,0.21,10.82
15,2,1981,-0.77,12.38
16,2,1981,-1.44,9.54
17,2,1981,-3.05,7.78
18,2,1981,-1.77,6.41
19,2,1981,0.55,5.1
20,2,1981,-2.19,5.57
21,2,1981,0.84,8.04
22,2,1981,2.37,8.11
23,2,1981,0.92,7.19
24,2,1981,-0.24,9.81
25,2,1981,-1.1,11.45
26,2,1981,3.96,8.25
27,2,1981,7.04,10.42
28,2,1981,5.18,8.83
1,3,1981,0.51,7.77
2,3,1981,1.69,7.37
3,3,1981,4.69,8.12
4,3,1981,3.97,10.39
5,3,1981,5.48,9.68
6,3,1981,4.42,12.82
7,3,1981,7.64,12.89
8,3,1981,9.32,13.69
9,3,1981,7.69,15.66
10,3,1981,10.29,19.29
11,3,1981,10.78,16.05
12,3,1981,9.39,12.78
13,3,1981,3.19,9.62
14,3,1981,0.72,8.74
15,3,1981,-1.49,9.06
16,3,1981,-1.57,11.35
17,3,1981,-0.22,9.71
18,3,1981,-2.42,11.15
19,3,1981,1.25,10.31
20,3,1981,4.67,9.23
21,3,1981,3.73,10.73
22,3,1981,6.71,10.31
23,3,1981,8.23,12.16
24,3,1981,8.84,14.92
25,3,1981,7.49,11.65
26,3,1981,5.21,14.11
27,3,1981,5.94,12.37
28,3,1981,6.38,10.29
29,3,1981,3.02,7.88
30,3,1981,3.43,9.99
31,3,1981,0.02,10.66
1,4,1981,1.21,8.26
2,4,1981,3.7,11.37
3,4,1981,4.7,12.02
4,4,1981,3.42,13.4
5,4,1981,4.32,16.84
6,4,1981,6.44,14.41
7,4,1981,5.75,16.26
8,4,1981,4.31,16.06
9,4,1981,6.43,14.05
10,4,1981,8.2,13.69
11,4,1981,7.68,14.45
12,4,1981,5.39,12.45
13,4,1981,4.5,11.56
14,4,1981,5.39,11.81
15,4,1981,4.1,13.39
16,4,1981,3.65,15.3
17,4,1981,2.57,14.65
18,4,1981,2.98,14.96
19,4,1981,2.49,14.18
20,4,1981,2.68,11.93
21,4,1981,-0.45,8.45
22,4,1981,1.31,10.8
23,4,1981,2.19,11.35
24,4,1981,0.74,12.93
25,4,1981,2.41,8.7
26,4,1981,-2.77,6.39
27,4,1981,-0.18,6.94
28,4,1981,-1.26,9.41
29,4,1981,1.55,15.3
30,4,1981,1.72,16.6
1,5,1981,5.4,17.79
2,5,1981,5.3,14.57
3,5,1981,3.17,14.59
4,5,1981,2.49,11.82
5,5,1981,6.61,15.21
6,5,1981,4.93,23.11
7,5,1981,8.15,12.73
8,5,1981,3.55,8.73
9,5,1981,3.26,7.49
10,5,1981,4.24,7.91
11,5,1981,5.07,7.71
12,5,1981,5.43,10.21
13,5,1981,3.22,11.14
14,5,1981,2.07,11.7
15,5,1981,5,10.11
16,5,1981,4.83,10.12
17,5,1981,5.02,11.52
18,5,1981,7.26,12.88
19,5,1981,8.39,15.77
20,5,1981,7.99,12.64
21,5,1981,5.34,11.79
22,5,1981,3.18,14.13
23,5,1981,6.66,14.7
24,5,1981,3.96,14.14
25,5,1981,6.33,12.87
26,5,1981,4.44,12.53
27,5,1981,5.12,12.65
28,5,1981,7.71,17.53
29,5,1981,9.51,21.86
30,5,1981,9.45,18.94
31,5,1981,10.39,18.79
1,6,1981,11.03,15.98
2,6,1981,7.82,14.93
3,6,1981,7.34,14.35
4,6,1981,4.46,15.18
5,6,1981,10.21,18.79
6,6,1981,10.85,19.62
7,6,1981,12.7,20.34
8,6,1981,12.73,19.37
9,6,1981,10.3,17.27
10,6,1981,7.56,21.44
11,6,1981,10.68,25.1
12,6,1981,13.85,30.04
13,6,1981,16.65,32.21
14,6,1981,19.49,34.31
15,6,1981,18.65,33.95
16,6,1981,17.47,31.77
17,6,1981,15.47,29.75
18,6,1981,12.4,27.81
19,6,1981,12.06,26.4
20,6,1981,11.71,27.26
21,6,1981,11.15,24.49
22,6,1981,12.8,24.34
23,6,1981,9.58,25.16
24,6,1981,10.13,22.83
25,6,1981,10.4,21.3
26,6,1981,8.13,18.12
27,6,1981,8.69,17.7
28,6,1981,6.83,17.89
29,6,1981,6.33,21.75
30,6,1981,9,24.93
1,7,1981,12.43,23.43
2,7,1981,11.39,17.54
3,7,1981,7.46,18.2
4,7,1981,10.66,20.69
5,7,1981,10.31,21.29
6,7,1981,10.12,22.79
7,7,1981,11.88,22.82
8,7,1981,11.38,21.48
9,7,1981,11.24,18.86
10,7,1981,8.93,20.33
11,7,1981,8.88,23.89
12,7,1981,12.57,27.8
13,7,1981,14.9,29.35
14,7,1981,15.37,30.11
15,7,1981,16.41,31.04
16,7,1981,14.96,31.82
17,7,1981,13.18,24.79
18,7,1981,9,21.37
19,7,1981,8.17,26.84
20,7,1981,10.72,28.01
21,7,1981,14.44,29.3
22,7,1981,12.74,23.4
23,7,1981,9.91,19.25
24,7,1981,7.35,19.36
25,7,1981,6.49,23.5
26,7,1981,9.54,28.89
27,7,1981,15.92,29.18
28,7,1981,16.43,30.33
29,7,1981,14.61,26.13
30,7,1981,16.24,22.1
31,7,1981,14.05,20.59
1,8,1981,13.31,19.62
2,8,1981,9.76,24.21
3,8,1981,12.09,28.57
4,8,1981,13.76,27.86
5,8,1981,14.15,28.89
6,8,1981,15.1,28.14
7,8,1981,13.93,25.5
8,8,1981,12.2,26.45
9,8,1981,12.58,28.51
10,8,1981,13.58,29.98
11,8,1981,12.85,26.63
12,8,1981,13.5,27.36
13,8,1981,13,28.37
14,8,1981,14.33,27.87
15,8,1981,14.79,26.6
16,8,1981,14.05,24.98
17,8,1981,14.03,24.03
18,8,1981,13.76,21.37
19,8,1981,13.01,21.41
20,8,1981,12.67,22.29
21,8,1981,11.64,25.55
22,8,1981,12.73,26.1
23,8,1981,13.62,26.68
24,8,1981,12.19,25.95
25,8,1981,13.51,26.06
26,8,1981,13,24.61
27,8,1981,13.22,23.57
28,8,1981,10.71,25.73
29,8,1981,11.18,24.69
30,8,1981,11.55,22.54
31,8,1981,11.22,21.82
1,9,1981,8.38,21.21
2,9,1981,8.94,23.31
3,9,1981,10.44,27.59
4,9,1981,12.87,28.38
5,9,1981,12.21,23.13
6,9,1981,14.41,23.24
7,9,1981,13.97,22.35
8,9,1981,14.3,24.95
9,9,1981,12.91,26.53
10,9,1981,11.36,20.16
11,9,1981,11.28,19.1
12,9,1981,7.27,19.89
13,9,1981,7.78,22.04
14,9,1981,7.99,23.87
15,9,1981,12.21,27.73
16,9,1981,13.87,27.7
17,9,1981,16.39,25
18,9,1981,15.19,19.48
19,9,1981,13.77,18.79
20,9,1981,12.88,18.81
21,9,1981,9.17,17.24
22,9,1981,6.12,16.08
23,9,1981,5.89,16.26
24,9,1981,6.19,14.93
25,9,1981,10.17,13.44
26,9,1981,6.91,12.32
27,9,1981,6.32,13.4
28,9,1981,5.8,15.99
29,9,1981,10.2,17.42
30,9,1981,9.87,19
1,10,1981,9.99,15.81
2,10,1981,10.04,14.94
3,10,1981,10.91,15.9
4,10,1981,8.48,11.8
5,10,1981,10.55,14.47
6,10,1981,9.71,13.35
7,10,1981,6.52,15.38
8,10,1981,8.63,17.09
9,10,1981,8.74,16.33
10,10,1981,6.62,15.15
11,10,1981,10.62,14.74
12,10,1981,12.91,17.33
13,10,1981,13.11,18.02
14,10,1981,9.39,17.54
15,10,1981,10.29,15.3
16,10,1981,10.22,18.54
17,10,1981,12.78,15.2
18,10,1981,10.99,16.69
19,10,1981,8.65,18.75
20,10,1981,7.26,18.04
21,10,1981,5.52,12.2
22,10,1981,0.77,10.35
23,10,1981,1.07,11.82
24,10,1981,0.58,11.82
25,10,1981,2.86,10.36
26,10,1981,6.37,11.19
27,10,1981,2.33,9.24
28,10,1981,3.13,12.19
29,10,1981,2.65,12.64
30,10,1981,2.52,10.95
31,10,1981,6.77,15.61
1,11,1981,8.53,20.2
2,11,1981,8.93,20.92
3,11,1981,8.58,21.04
4,11,1981,7.57,18.65
5,11,1981,5.38,19.11
6,11,1981,6.43,18.45
7,11,1981,5.51,15.41
8,11,1981,4.38,12.06
9,11,1981,5.72,16.09
10,11,1981,1.84,14.33
11,11,1981,3.33,14.39
12,11,1981,6.28,14.39
13,11,1981,4.23,12.32
14,11,1981,4.26,12.41
15,11,1981,5.79,14.25
16,11,1981,5.51,12.97
17,11,1981,7.55,14.98
18,11,1981,7.02,15.39
19,11,1981,7.42,16.87
20,11,1981,5.86,14.55
21,11,1981,5.78,15.77
22,11,1981,6.53,14.8
23,11,1981,8.93,13.47
24,11,1981,7.54,14.21
25,11,1981,7.87,13.52
26,11,1981,5.44,13.73
27,11,1981,5.2,12.13
28,11,1981,3.81,11.26
29,11,1981,1.77,10.75
30,11,1981,0.94,11.54
1,12,1981,-2.06,9.38
2,12,1981,1.16,10.33
3,12,1981,-2.31,8.38
4,12,1981,-2.79,8.14
5,12,1981,-3.98,8.99
6,12,1981,-0.29,8.19
7,12,1981,0.94,8.28
8,12,1981,3.64,8.9
9,12,1981,8.05,9.87
10,12,1981,8.8,12.46
11,12,1981,10.18,12.41
12,12,1981,10.85,11.51
13,12,1981,11.09,14.47
14,12,1981,7.24,10.87
15,12,1981,4.11,12.48
16,12,1981,6.78,11.97
17,12,1981,5.87,9.12
18,12,1981,2.9,6.36
19,12,1981,-1.55,6.22
20,12,1981,1.71,9.08
21,12,1981,3.29,8.75
22,12,1981,6.14,10.95
23,12,1981,6.57,10.78
24,12,1981,3.12,7.58
25,12,1981,-0.38,6.7
26,12,1981,1.61,5.82
27,12,1981,3.43,8.55
28,12,1981,3.45,7.24
29,12,1981,3.03,7.2
30,12,1981,3.93,8.61
31,12,1981,3.76,6.15
1,1,1982,3.7,9.96
2,1,1982,3.92,9.78
3,1,1982,7.4,11.4
4,1,1982,9.3,11.17
5,1,1982,8.19,11
6,1,1982,8.68,9.27
7,1,1982,3.81,12.4
8,1,1982,2.98,12.63
9,1,1982,7.5,11.94
10,1,1982,8.79,11.21
11,1,1982,5.45,8.52
12,1,1982,1.48,10.32
13,1,1982,1.61,12.51
14,1,1982,2.43,11.51
15,1,1982,3.08,9.56
16,1,1982,5.85,10.45
17,1,1982,2.56,9.65
18,1,1982,2.74,7.94
19,1,1982,5.79,10.18
20,1,1982,5.8,9.29
21,1,1982,5.4,10.48
22,1,1982,2.45,10.78
23,1,1982,0.53,9.19
24,1,1982,-1.2,9.56
25,1,1982,-0.36,9.58
26,1,1982,-0.8,9.51
27,1,1982,0.34,8.85
28,1,1982,-0.96,7.26
29,1,1982,-3.49,9.11
30,1,1982,-2.01,11.72
31,1,1982,0.26,10.28
1,2,1982,0.03,5.76
2,2,1982,0.69,7.1
3,2,1982,0.67,8.45
4,2,1982,6.03,11.32
5,2,1982,6.2,14.61
6,2,1982,2.88,15.13
7,2,1982,2.66,8.11
8,2,1982,1.57,10.87
9,2,1982,0.06,13.66
10,2,1982,2.01,12.12
11,2,1982,3.68,9.39
12,2,1982,3.33,8.97
13,2,1982,6.09,9.38
14,2,1982,1.1,9.53
15,2,1982,2.02,7.74
16,2,1982,2.03,9.82
17,2,1982,-1.57,8.86
18,2,1982,1.66,10.33
19,2,1982,-1.91,9.54
20,2,1982,1.23,9.61
21,2,1982,4.17,10.54
22,2,1982,2.8,8.91
23,2,1982,0.23,6.83
24,2,1982,-1.64,7.77
25,2,1982,2.21,8.19
26,2,1982,4.41,10.44
27,2,1982,7.81,11.44
28,2,1982,9.43,11.58
1,3,1982,8.42,11.98
2,3,1982,4.38,11.08
3,3,1982,2.8,12.92
4,3,1982,1.79,8.23
5,3,1982,-1.49,9.21
6,3,1982,-0.65,10.52
7,3,1982,0.79,8.28
8,3,1982,-1.3,9
9,3,1982,-0.17,9.35
10,3,1982,3.77,8.28
11,3,1982,4.64,13.69
12,3,1982,2.85,13.74
13,3,1982,0.6,13.45
14,3,1982,-1.24,14.04
15,3,1982,0.86,12.21
16,3,1982,4.59,11.69
17,3,1982,4.35,9.85
18,3,1982,-1.39,9.76
19,3,1982,5.14,11.07
20,3,1982,7.59,12.2
21,3,1982,3.5,14.79
22,3,1982,2.77,16.9
23,3,1982,3.47,16.29
24,3,1982,1.21,15.4
25,3,1982,0.78,13.49
26,3,1982,1.79,14.17
27,3,1982,2.13,13.85
28,3,1982,2.37,16.21
29,3,1982,3.27,15.84
30,3,1982,3.93,14.75
31,3,1982,1.56,12.43
1,4,1982,2.61,9.83
2,4,1982,1.18,12.34
3,4,1982,6,11.21
4,4,1982,5.93,13.34
5,4,1982,5.19,12.49
6,4,1982,5.53,13.67
7,4,1982,2.83,17.53
8,4,1982,4.95,19.49
9,4,1982,7.73,18.2
10,4,1982,6.83,19.96
11,4,1982,10.43,16.72
12,4,1982,9.52,17.17
13,4,1982,7.31,17.65
14,4,1982,1.6,15.27
15,4,1982,0.88,13.78
16,4,1982,-0.1,15.74
17,4,1982,2.01,12.34
18,4,1982,3.51,13.75
19,4,1982,4.61,17.55
20,4,1982,3.77,18.05
21,4,1982,4.83,18.57
